Year,Month,Rainfall
1977,8,89.5
1977,9,74.15
1977,10,64.15
1977,11,67.25
1977,12,64.5
1978,1,60.95
1978,2,52.55
1978,3,72.80000000000001
1978,4,74.65
1978,5,86.2
1978,6,73.75
1978,7,83.75
1978,8,75.25
1978,9,86.85
1978,10,67.2
1978,11,49.0
1978,12,64.9
1979,1,58.3
1979,2,51.25
1979,3,61.05
1979,4,72.75
1979,5,73.85
1979,6,81.7
1979,7,74.15
1979,8,86.35
1979,9,67.1
1979,10,78.15
1979,11,82.35
1979,12,58.6
1980,1,54.400000000000006
1980,2,45.5
1980,3,55.349999999999994
1980,4,69.4
1980,5,85.65
1980,6,83.0
1980,7,87.30000000000001
1980,8,83.6
1980,9,62.35
1980,10,89.4
1980,11,73.9
1980,12,71.1
1981,1,54.5
1981,2,50.45
1981,3,68.2
1981,4,56.2
1981,5,85.69999999999999
1981,6,84.19999999999999
1981,7,77.8
1981,8,70.9
1981,9,85.75
1981,10,81.35
1981,11,73.3
1981,12,74.15
1982,1,50.4
1982,2,39.55
1982,3,60.0
1982,4,64.65
1982,5,70.15
1982,6,77.65
1982,7,81.9
1982,8,77.95
1982,9,65.5
1982,10,88.8
1982,11,75.6
1982,12,61.5
1983,1,46.900000000000006
1983,2,39.4
1983,3,50.5
1983,4,55.099999999999994
1983,5,77.0
1983,6,72.7
1983,7,60.95
1983,8,68.6
1983,9,75.95
1983,10,68.15
1983,11,58.65
1983,12,62.25
1984,1,61.2
1984,2,50.650000000000006
1984,3,55.25
1984,4,61.1
1984,5,83.45
1984,6,80.80000000000001
1984,7,68.9
1984,8,69.80000000000001
1984,9,103.4
1984,10,77.1
1984,11,72.45
1984,12,44.9
1985,1,49.7
1985,2,43.6
1985,3,53.4
1985,4,66.1
1985,5,71.25
1985,6,80.55000000000001
1985,7,76.45
1985,8,85.6
1985,9,75.95
1985,10,59.8
1985,11,78.6
1985,12,56.4
1986,1,63.05
1986,2,40.599999999999994
1986,3,61.15
1986,4,64.75
1986,5,75.25
1986,6,80.15
1986,7,69.7
1986,8,75.9
1986,9,68.75
1986,10,78.19999999999999
1986,11,63.0
1986,12,58.2
1987,1,49.849999999999994
1987,2,41.55
1987,3,57.45
1987,4,53.95
1987,5,80.35
1987,6,78.25
1987,7,70.65
1987,8,77.65
1987,9,73.6
1987,10,87.69999999999999
1987,11,68.5
1987,12,61.35
1988,1,61.45
1988,2,54.75
1988,3,68.35
1988,4,62.1
1988,5,68.4
1988,6,81.85
1988,7,90.5
1988,8,90.80000000000001
1988,9,80.55
1988,10,70.75
1988,11,59.65
1988,12,64.9
1989,1,32.65
1989,2,43.25
1989,3,56.35
1989,4,68.35
1989,5,65.30000000000001
1989,6,79.25
1989,7,71.0
1989,8,94.45
1989,9,74.75
1989,10,77.0
1989,11,63.650000000000006
1989,12,58.65
1990,1,50.5
1990,2,51.0
1990,3,48.400000000000006
1990,4,72.35
1990,5,62.349999999999994
1990,6,76.6
1990,7,69.30000000000001
1990,8,67.5
1990,9,78.9
1990,10,80.30000000000001
1990,11,70.6
1990,12,70.55
1991,1,47.7
1991,2,44.05
1991,3,59.05
1991,4,65.0
1991,5,86.1
1991,6,85.1
1991,7,78.35
1991,8,65.6
1991,9,69.5
1991,10,75.80000000000001
1991,11,68.45
1991,12,55.7
1992,1,36.7
1992,2,39.75
1992,3,47.25
1992,4,60.599999999999994
1992,5,63.5
1992,6,89.85
1992,7,72.0
1992,8,73.85
1992,9,74.35
1992,10,76.4
1992,11,68.80000000000001
1992,12,59.35
1993,1,48.0
1993,2,40.85
1993,3,58.05
1993,4,61.0
1993,5,81.8
1993,6,75.15
1993,7,75.44999999999999
1993,8,72.6
1993,9,79.45
1993,10,71.85
1993,11,64.7
1993,12,63.599999999999994
1994,1,66.35
1994,2,44.05
1994,3,51.25
1994,4,64.65
1994,5,66.6
1994,6,65.95
1994,7,68.65
1994,8,78.95
1994,9,84.30000000000001
1994,10,82.75
1994,11,60.0
1994,12,60.900000000000006
1995,1,53.8
1995,2,49.150000000000006
1995,3,60.900000000000006
1995,4,62.45
1995,5,66.75
1995,6,81.69999999999999
1995,7,68.4
1995,8,77.4
1995,9,92.0
1995,10,50.55
1995,11,62.45
1995,12,60.25
1996,1,54.45
1996,2,52.599999999999994
1996,3,56.8
1996,4,66.65
1996,5,78.2
1996,6,59.849999999999994
1996,7,71.0
1996,8,76.5
1996,9,83.55
1996,10,73.5
1996,11,74.05
1996,12,64.6
1997,1,44.25
1997,2,44.75
1997,3,47.349999999999994
1997,4,64.75
1997,5,80.9
1997,6,83.65
1997,7,80.2
1997,8,80.45
1997,9,57.95
1997,10,78.95
1997,11,66.75
1997,12,72.75
1998,1,55.75
1998,2,38.2
1998,3,44.0
1998,4,63.150000000000006
1998,5,80.2
1998,6,85.1
1998,7,84.85
1998,8,76.8
1998,9,94.65
1998,10,93.55
1998,11,67.80000000000001
1998,12,55.15
1999,1,62.0
1999,2,54.1
1999,3,56.25
1999,4,68.45
1999,5,62.2
1999,6,83.15
1999,7,74.30000000000001
1999,8,86.1
1999,9,93.30000000000001
1999,10,87.05
1999,11,73.05000000000001
1999,12,67.45
2000,1,46.1
2000,2,41.65
2000,3,50.15
2000,4,67.45
2000,5,70.19999999999999
2000,6,64.0
2000,7,81.15
2000,8,73.55
2000,9,86.05
2000,10,95.69999999999999
2000,11,72.1
2000,12,65.6
2001,1,53.9
2001,2,46.5
2001,3,55.8
2001,4,65.94999999999999
2001,5,63.45
2001,6,81.55000000000001
2001,7,89.55000000000001
