Year,Month,Temperature
1953,2,-0.21844660194174637
1953,3,0.18932038834951515
1953,4,0.36407766990291357
1953,5,0.5679611650485432
1953,6,1.0048543689320382
1953,7,0.9466019417475735
1953,8,0.9466019417475735
1953,9,1.0048543689320422
1953,10,0.7135922330097122
1953,11,0.2475728155339798
1953,12,-0.7427184466019375
1954,1,-0.9174757281553401
1954,2,-0.5970873786407725
1954,3,0.2475728155339798
1954,4,0.21844660194174859
1954,5,0.45145631067961167
1954,6,0.8300970873786397
1954,7,0.7135922330097122
1954,8,0.8300970873786397
1954,9,0.9174757281553401
1954,10,0.45145631067961167
1954,11,0.04368932038835016
1954,12,-0.8883495145631066
1955,1,-0.9174757281553401
1955,2,-0.6553398058252414
1955,3,0.10194174757281482
1955,4,0.3058252427184467
1955,5,0.33495145631068013
1955,6,0.8592233009708732
1955,7,0.7135922330097082
1955,8,0.8592233009708732
1955,9,0.8883495145631066
1955,10,0.7135922330097082
1955,11,0.01456310679611672
1955,12,-0.8592233009708732
1956,1,-1.5
1956,2,-0.5679611650485432
1956,3,0.27669902912621325
1956,4,0.04368932038835016
1956,5,0.2475728155339798
1956,6,0.5970873786407767
1956,7,0.8009708737864085
1956,8,0.7718446601941751
1956,9,0.7427184466019416
1956,10,0.5679611650485432
1956,11,-0.3058252427184467
1956,12,-0.8009708737864064
1957,1,-1.1213592233009697
1957,2,-0.9757281553398048
1957,3,0.18932038834951515
1957,4,0.3058252427184467
1957,5,0.27669902912621325
1957,6,0.8300970873786397
1957,7,0.8592233009708772
1957,8,1.0339805825242716
1957,9,1.0339805825242716
1957,10,0.6262135922330101
1957,11,0.42233009708737823
1957,12,-0.4805825242718451
1958,1,-0.7718446601941751
1958,2,-0.6844660194174749
1958,3,0.5970873786407767
1958,4,0.7135922330097082
1958,5,0.45145631067961167
1958,6,0.7135922330097122
1958,7,0.8883495145631066
1958,8,0.9466019417475735
1958,9,1.0048543689320382
1958,10,0.7135922330097122
1958,11,0.0728155339805836
1958,12,-0.42233009708737823
1959,1,-1.0048543689320382
1959,2,-0.5388349514563099
1959,3,0.04368932038835016
1959,4,0.3058252427184467
1959,5,0.3058252427184467
1959,6,0.8300970873786397
1959,7,1.0339805825242716
1959,8,0.9466019417475735
1959,9,0.7135922330097082
1959,10,0.6553398058252435
1959,11,0.10194174757281482
1959,12,-0.6844660194174749
1960,1,-0.9757281553398048
1960,2,-0.2475728155339798
1960,3,0.2475728155339798
1960,4,0.18932038834951515
1960,5,0.8009708737864085
